/sm	OFF
/sc	ON
/sd	OFF
/fpo	pd	8.00 6.00
/td	"xy"
4.911107e-001	1.109120e+002
4.919979e-001	1.111118e+002
4.928850e-001	1.113117e+002
4.937722e-001	1.115115e+002
4.946595e-001	1.117113e+002
4.955467e-001	1.119112e+002
4.964340e-001	1.121110e+002
4.973212e-001	1.123109e+002
4.982085e-001	1.125107e+002
4.990958e-001	1.127105e+002
4.999832e-001	1.129104e+002
5.008705e-001	1.131102e+002
5.017579e-001	1.133101e+002
5.026453e-001	1.135099e+002
5.035327e-001	1.137097e+002
5.044201e-001	1.139096e+002
5.053075e-001	1.141094e+002
5.061950e-001	1.143093e+002
5.070825e-001	1.145091e+002
5.079700e-001	1.147089e+002
5.088575e-001	1.149088e+002
5.097450e-001	1.151086e+002
5.106326e-001	1.153085e+002
5.115201e-001	1.155083e+002
5.124077e-001	1.157081e+002
5.132953e-001	1.159080e+002
5.141830e-001	1.161078e+002
5.150706e-001	1.163077e+002
5.159583e-001	1.165075e+002
5.168460e-001	1.167073e+002
5.177337e-001	1.169072e+002
5.186215e-001	1.171070e+002
5.195092e-001	1.173069e+002
5.203970e-001	1.175067e+002
5.212848e-001	1.177065e+002
5.221726e-001	1.179064e+002
5.230605e-001	1.181062e+002
5.239483e-001	1.183061e+002
5.248362e-001	1.185059e+002
5.257241e-001	1.187057e+002
5.266121e-001	1.189056e+002
5.275000e-001	1.191054e+002
5.283880e-001	1.193053e+002
5.292760e-001	1.195051e+002
5.301640e-001	1.197049e+002
5.310520e-001	1.199048e+002
5.319401e-001	1.201046e+002
5.328282e-001	1.203045e+002
5.337163e-001	1.205043e+002
5.346044e-001	1.207041e+002
5.354926e-001	1.209040e+002
5.363808e-001	1.211038e+002
5.372690e-001	1.213037e+002
5.381572e-001	1.215035e+002
5.390454e-001	1.217033e+002
5.399337e-001	1.219032e+002
5.408220e-001	1.221030e+002
5.417103e-001	1.223029e+002
5.425987e-001	1.225027e+002
5.434870e-001	1.227025e+002
5.443754e-001	1.229024e+002
5.452638e-001	1.231022e+002
5.461523e-001	1.233021e+002
5.470408e-001	1.235019e+002
5.479293e-001	1.237017e+002
5.488178e-001	1.239016e+002
5.497063e-001	1.241014e+002
5.505949e-001	1.243013e+002
5.514835e-001	1.245011e+002
5.523721e-001	1.247009e+002
5.532607e-001	1.249008e+002
5.541494e-001	1.251006e+002
5.550381e-001	1.253005e+002
5.559268e-001	1.255003e+002
5.568156e-001	1.257001e+002
5.577044e-001	1.259000e+002
5.585932e-001	1.260998e+002
5.594820e-001	1.262997e+002
5.603709e-001	1.264995e+002
5.612598e-001	1.266993e+002
5.621487e-001	1.268992e+002
5.630376e-001	1.270990e+002
5.639266e-001	1.272989e+002
5.648156e-001	1.274987e+002
5.657046e-001	1.276985e+002
5.665937e-001	1.278984e+002
5.674828e-001	1.280982e+002
5.683719e-001	1.282981e+002
5.692610e-001	1.284979e+002
5.701502e-001	1.286977e+002
5.710394e-001	1.288976e+002
5.719286e-001	1.290974e+002
5.728179e-001	1.292973e+002
5.737072e-001	1.294971e+002
5.745965e-001	1.296969e+002
5.754858e-001	1.298968e+002
5.763752e-001	1.300966e+002
5.772646e-001	1.302965e+002
5.781541e-001	1.304963e+002
5.790436e-001	1.306961e+002
5.799331e-001	1.308960e+002
5.808226e-001	1.310958e+002
5.817122e-001	1.312957e+002
5.826018e-001	1.314955e+002
5.834914e-001	1.316953e+002
5.843811e-001	1.318952e+002
5.852708e-001	1.320950e+002
5.861605e-001	1.322949e+002
5.870503e-001	1.324947e+002
5.879401e-001	1.326945e+002
5.888299e-001	1.328944e+002
5.897198e-001	1.330942e+002
5.906097e-001	1.332941e+002
5.914996e-001	1.334939e+002
5.923896e-001	1.336937e+002
5.932796e-001	1.338936e+002
5.941696e-001	1.340934e+002
5.950597e-001	1.342933e+002
5.959498e-001	1.344931e+002
5.968399e-001	1.346929e+002
5.977301e-001	1.348928e+002
5.986203e-001	1.350926e+002
5.995106e-001	1.352925e+002
6.004009e-001	1.354923e+002
6.012912e-001	1.356921e+002
6.021816e-001	1.358920e+002
6.030720e-001	1.360918e+002
6.039624e-001	1.362917e+002
6.048529e-001	1.364915e+002
6.057434e-001	1.366913e+002
